Product,Brand,Price,Rating,Review,Votes,Review_Length,Polarity,Sentiment
Samsung Galaxy S4 - Unlocked (Black),Samsung,2000.0,3,No,0.0,2,0.0,Neutral
Samsung Galaxy S4 - Unlocked (Black),Samsung,2000.0,5,Its all ok,0.0,10,0.5,Positive
Samsung Galaxy S4 - Unlocked (Black),Samsung,2000.0,5,excelent,0.0,8,0.0,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,"Excellent device, Works fine!",1.0,29,0.7604166666666667,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,Is not what it said it was,2.0,26,0.0,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Works great,0.0,11,0.8,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,3,PHONE STILL UNDER CONTRACT. COULD NOT ACTIVATE!,2.0,47,0.0,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,"I received the phone earlier than expected, by 3 days. This was a major plus. Also the phone's condition looked brand new, no flaws no issues at all. I am very happy with this phone grade A service. Met and exceeded all expectations. Thank you",0.0,243,0.2197727272727273,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,"Great phone. Was used but was in total brand new condition. Excellent price, saved me a ton",0.0,91,0.4840909090909091,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,"It came just as I hoped; white color, almost new condition, no scratches or any noticeable flaws at all. Started it up as soon as i got it and had no issues connecting it with Ting.",1.0,181,0.06818181818181818,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Love the phone it was flawless,0.0,30,0.75,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,4,it was a 720T model and I was unable to use it Sprint MVOS carriers for nearly a year.,0.0,86,-0.2,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,I love this phone great condition especially for the price defenetly a great buy says condition 9/10 but it looks 10/10 to me. Came in 4 days early the only downside was no shipping details bit not a big deal since I was surprised with an ealy shippment... I love it,0.0,266,0.3111111111111111,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,"Phone doesn't work. i couldn't get it to activate online or over the phone so i took it to the store and they tried for an hour. Phone is ""Sprint by Yemen"". what ever that means. Sprint salesman believes its from another country and wont activate here in the United States. Wasted my time and money!",0.0,299,-0.25,Negative
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,Phone kept turning on and off. Seriously a waste of my time. Returning ridiculous,0.0,81,-0.26666666666666666,Negative
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,New features.,0.0,13,0.13636363636363635,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,2,It's a phone but it gets s***y service,0.0,38,0.0,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,4,"Works perfect, great replacement.",0.0,33,0.9,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,4,Yes its working so far good.,0.0,28,0.39999999999999997,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,3,"It's annoying when a model is advertised and another is shipped to you, by the way, I paid for Sph-L720 and got Sph-L720t (the 't' difference has a bigger effect than you can imagine). Otherwise phone came in very good cosmetic condition and works fine.",1.0,253,0.13166666666666665,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,I was worried about buying a phone not knowing if it would fit the specs listed. I took it to the Sprint store they gave it thing thumbs up. I'm very pleased with it.,0.0,166,0.525,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,"I was very happy that this arrived a day early and was very well packaged. It's thin enough to easily put in your pocket which is convenient. It's much nicer than my last smart phone, the auto-correct is very accurate and it's easy to type on. The photo and video quality is pretty good. The screen is vibrant and videos look great on it. For the price this is a very good smart phone. It has a lot of features and is high quality. I use chit chat mobile as a carrier and this phone is compatible with their network.",0.0,516,0.3278835978835979,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,Description stated it is for Sprint. Sprint would not activate the phone. Very frustrating all around.,1.0,102,-0.52,Negative
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Thank You!,0.0,10,0.0,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,4,Decent for what I paid.,0.0,23,0.16666666666666666,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Best purshces I have made in awhile very simple and easy and had no problems with my phone it was also a used phone,1.0,115,0.4777777777777778,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,2,The phone looks good but had a few deffects but for the prices what can I spect,1.0,79,0.24999999999999997,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,"I took my phone to sprint to turn it on, and it was reported stolen.",1.0,68,0.0,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Beautiful blue! Luve it....,0.0,27,0.425,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,I bought this phone months ago as a back up. Now I need to use it and it is locked. The original owner needs to unlock it! Please help me 281.300.5570 is my cell phone.,1.0,168,0.234375,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,4,Phone was cracked and drains battery quickly but works well other than that no complaints,1.0,89,0.10416666666666666,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Thank you. Fast shipping. It's a nice phone.,0.0,44,0.4,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Exactly as described.,0.0,21,0.25,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Was delivered quickly and was as expected.,0.0,42,0.11666666666666665,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,This is an amazing device oh my gosh. This phone is absolutely great I love the design and just slick.,0.0,102,0.41250000000000003,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,"I pushased this cell phone as a birthday gift to my husband. AND, You know what? The item could not be activated with Sprint. GRRRR",0.0,131,-0.7,Negative
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,1,phone does not work in Europe is blocked I bought to unlock who can help me ?,1.0,77,0.0,Neutral
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Great phone in love with it!!!,0.0,30,0.88828125,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,4,Beautiful phone. Like new. Only thing was it took a while to program. Needed a lot of updating before turning it on with sprint. But it was worth the trouble.,2.0,158,0.21727272727272728,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,Perfect!!! Exactly what it said in the description and shipped with care. It had a load of bubble wrap and a label on the outside.,0.0,130,0.4166666666666667,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,5,"Exactly as described, super prompt shipping. I had no issues connecting it to my Sprint account. Very pleased!",1.0,110,0.46527777777777773,Positive
Samsung Galaxy S4 16GB SPH-720T LTE Tri-Band Blue (Sprint),,89.99,4,good phone no problems,0.0,22,0.7,Positive
